8/13/2014,9:30am-1:30pm,Jewel,150 E Pierce Rd ,Itasca,IL,60143,41.985217,-88.0007879,chicago
8/13/2014,3pm-6:30pm,Valli Produce,155 North Ave.,Glendale Heights,IL,60139,41.9006837,-88.0835867,chicago
8/14/2014,10am-1:30pm,Jewel,370 N DesPlaines St,Chicago,IL,60661,41.888714,-87.6450433,chicago
8/14/2014,3pm-6:30pm,Jewel,424 W Division St,Chicago,IL,60610,41.9037516,-87.638812,chicago
8/15/2014,10am-1:30pm,Jewel,1341 North Paulina,Chicago,IL,60622,41.90656,-87.669389,chicago
8/15/2014,3pm-6:30pm,Strack & Van Til,2627 N. Elston Ave,Chicago,IL,60647,41.9298138,-87.681872,chicago
8/16/2014,10am-1:30pm,Sunset Foods,1812 Green Bay Road,Highland Park,IL,60035,42.184713,-87.803424,chicago
8/16/2014,3pm-6:30pm,Jewel,6509 West Grand Ave,Gurnee,IL,60031,42.3852131,-87.9636702,chicago
8/17/2014,11am-2:30pm,Ultra Foods,501 S County Farm Rd,Wheaton,IL,60189,41.8504768,-88.1418517,chicago
8/17/2014,5pm-10pm,Chicago Kids Yogafest,Garfield Park Consevatory 300 N Central Park Ave,Chicago,IL,60624,41.8863761,-87.7177964,chicago
8/22/2014,10:30pm-1:30pm,Giant Eagle,101 Kappa Dr,Pittsburgh,PA,15238,40.50904,-79.869429,pittsburgh
8/23/2014,10am-1:30pm ,Ellwood Thompson's,4 N Thompson St,Richmond,VA,23221,37.5576737,-77.488361,washington
8/23/2014,4pm-7pm,Homegrown and Healthy Blogger stop: Plains District Memorial Park ,Memorial Park Dr,Timberville,VA,22853,38.6342392,-78.7790062,washington
8/24/2014,10am-1:30pm,Martin's,200 Rivendell Ct,Winchester,VA,22603,39.2089467,-78.1748432,washington
8/24/2014,3pm-6:30pm,Martin's,400 Gateway Dr,Winchester,VA,22603,39.1869559,-78.1333518,washington
8/26/2014,3pm-6:30pm,GIANT,1230 West Broad St,Falls Church,VA,22046,38.8948874,-77.1888497,washington
8/27/2014,3pm-6:30pm,GIANT,3131 Duke St,Alexandria,VA,22314,38.8090672,-77.0852816,washington
8/29/2014,3pm-6:30pm,Roots Market,16800 Georgia AvE,Olney,MD,20832,39.132089,-77.071299,maryland
8/31/2014,10am-1:30pm,GIANT,6050 Daybreak Circle,Clarksville,MD,21029,39.2115365,-76.9356673,maryland
8/31/2014,3pm-6:30pm,Roots Market,5805 Clarksville Square Drive,Clarksville,MD,21029,39.2125392,-76.937909,maryland
9/2/2014,3pm-6:30pm,Whole Foods Market,833 Wayne Ave,Silver Spring,MD,20910,38.9963399,-77.0241998,Maryland
9/6/2014,3pm-6:30pm,Fairview,50 Manetto Dr,Plainview,NY,11803,40.7889814,-73.4809117,brooklyn
9/6/2014,10am-1:30pm,Sherry's,89 Deer Park Ave,Babylon,NY,11702,40.697951,-73.3222569,brooklyn
9/7/2014,midday,Stop and Shop,50 Cherry Valley,Hempstead,NY,11552,40.7071619,-73.6558732,brooklyn
